App,Category,Rating,Reviews,App_Size,Content.Rating,Genre
ES File Explorer & File Manager 2018,TOOLS,3.8,24,2.9,Everyone,Tools
Truck Simulator DT 3D,FAMILY,3.8,110,22,Everyone,Simulation
The Grand Wars: San Andreas,GAME,3.9,29990,96,Teen,Action and Adventure
Masterchef Cooking Games: Fun Restaurant & Kitchen,FAMILY,3.9,1036,33,Everyone,Casual
J.ME Fly,FAMILY,3.9,28,98,Everyone,Entertainment
"energyly (TNEB,BESCOM,MH,DL..)",TOOLS,3.9,627,4.1,Everyone,Tools
CS-Touch,FAMILY,3.9,337,22,Everyone,Education
Crazy Doctor,FAMILY,4,267636,13,Teen,Role Playing
Real DJ Simulator,FAMILY,4,68664,55,Everyone,Simulation
AU Results - AU COE Corner,FAMILY,4,664,2.1,Everyone,Education
DCUO|CR Calculator Lite,TOOLS,4,182,1.7,Everyone,Tools
SpongeBob Diner Dash,FAMILY,4,576210,48,Everyone,Casual
Dr.Slender Ep 1 Guide (Eng),GAME,4,454,27,Teen,Arcade
Yaoi Ooku: Distorted Love,FAMILY,4,2614,6.3,Mature 17+,Simulation
RISK: Global Domination,FAMILY,4,68559,75,Everyone,Board
K-Rain BL,TOOLS,4,9,33,Everyone,Tools
Dreamland Arcade - Steven Universe,GAME,4,6386,24,Everyone,Arcade
Lock Screen,TOOLS,4,41137,4.6,Everyone,Tools
BP Scanner Prank,FAMILY,4.1,157,7,Everyone,Entertainment
Counter Deck Calculator for CR,TOOLS,4.1,3446,19,Everyone,Tools
Dominos Game ✔️,FAMILY,4.1,2903,16,Everyone,Board
GF - BF Chat Stories - Hindi English Convesation,FAMILY,4.1,32,4.1,Everyone,Education
Blamburger - Clarence,FAMILY,4.1,30444,27,Everyone 10+,Arcade
CP evolution calculator Pokemo,FAMILY,4.1,78,0.787,Everyone,Education
The Visitor,GAME,4.1,39895,25,Mature 17+,Action and Adventure
Rage Z: Multiplayer Zombie FPS Online Shooter,GAME,4.1,11258,44,Mature 17+,Action and Adventure
Shiver: Moonlit Grove CE,FAMILY,4.1,3433,23,Everyone 10+,Casual
CJ Poker Odds Calculator,GAME,4.1,207,0.116,Everyone,Board and Card
US Army Training Courses Game,FAMILY,4.1,27130,35,Everyone,Simulation
Wi-Fi settings shortcut,TOOLS,4.1,479,0.029,Everyone,Tools
Auction Wars : Storage King,GAME,4.1,29062,63,Everyone,Board and Card
Modern Counter Global Strike 3D,GAME,4.1,297,48,Teen,Action and Adventure
Beast of Lycan Isle CE,FAMILY,4.1,2683,20,Everyone 10+,Casual
AV Buddy Free,FAMILY,4.1,25,47,Everyone,Education
G-Download Manager,TOOLS,4.1,802,9.4,Everyone,Tools
Digoo·Cloud,TOOLS,4.1,543,26,Everyone,Tools
Offroad Car Q,FAMILY,4.1,24668,40,Everyone,Simulation
Teen Patti by BL Games,GAME,4.1,496,39,Teen,Board and Card
Xtreme Racing 2018 - Jeep & 4x4 off road simulator,FAMILY,4.2,2178,99,Everyone,Racing
City Builder 2016: County Mall,FAMILY,4.2,41693,74,Everyone,Simulation
A. O. Smith,TOOLS,4.2,32,33,Everyone,Tools
Hole.io,GAME,4.2,145353,85,Teen,Arcade
D Day World War II Commando Survival Shooting,GAME,4.2,951,64,Teen,Action and Adventure
Draw a Stickman: EPIC Free,GAME,4.2,210317,46,Everyone 10+,Action and Adventure
AP Calculus BC Practice Test,FAMILY,4.2,4,29,Everyone,Education
CV maker for Job Applications and Resume Maker,TOOLS,4.2,75,25,Everyone,Tools
Antenna Tool,TOOLS,4.2,522,2.9,Everyone,Tools
Discovery K!ds Play! Español,FAMILY,4.2,11263,35,Everyone,Entertainment
X-WOLF,GAME,4.2,4878,27,Everyone 10+,Action and Adventure
Heroes Arena,GAME,4.2,336386,88,Everyone 10+,Action and Adventure
IV Calc CP Calculator Toolkit,TOOLS,4.2,242,3.2,Everyone,Tools
[ROOT] X Privacy Installer,TOOLS,4.2,12147,0.118,Everyone,Tools
Angry Birds Friends,GAME,4.2,829753,48,Everyone,Arcade
Builder Craft: House Building & Exploration,FAMILY,4.2,20807,52,Everyone 10+,Simulation
Morse Player Free,FAMILY,4.2,268,4.2,Everyone,Education
Screen Lock,TOOLS,4.2,68309,2.1,Everyone,Tools
Little Panda Run,FAMILY,4.2,3235,32,Everyone,Education
Escaping the Prison,FAMILY,4.2,419375,31,Everyone 10+,Casual
BJ-FPV,FAMILY,4.2,16,26,Everyone,Casual
Hotel Insanity,GAME,4.2,3816,31,Teen,Arcade
R. Physics Puzzle Game,FAMILY,4.2,5369,60,Everyone,Puzzle
TN Patta Chitta EC Info,TOOLS,4.2,1611,2.7,Everyone,Tools
Evolution: Battle for Utopia,FAMILY,4.2,246705,27,Teen,Strategy
Adult Color By Number Book: Number Coloring Pages,FAMILY,4.2,2231,37,Everyone,Entertainment
RULES OF SURVIVAL,GAME,4.2,1343866,56,Teen,Action and Adventure
DU Browser Mini(Small&Fast),TOOLS,4.2,20941,2,Everyone,Tools
FlashLight F.Light,TOOLS,4.3,3943,11,Everyone,Tools
CG Sanyukt Bharti Pariksha 2018,FAMILY,4.3,14,4.3,Teen,Education
"Star Girl - Fashion, Makeup & Dress Up",FAMILY,4.3,556929,53,Teen,Casual
DC Super Hero Girls™,GAME,4.3,43055,95,Everyone,Action and Adventure
Pineapple Pen,GAME,4.3,157264,65,Everyone,Arcade
Educational Games 4 Kids,FAMILY,4.3,11618,39,Everyone,Education
Chest Tracker for Clash Royale,TOOLS,4.3,77717,14,Everyone,Tools
