App,Category,Rating,Reviews,App_Size,Price,Content.Rating,Genre
OMEGA Black UI Theme - CM 12+,PERSONALIZATION,4.2,12,19,0.99,Everyone,Personalization
Easy Hotspot Ad Free,TOOLS,5,2,3.3,0.99,Everyone,Tools
Ice Crush 10.000 B.C.,FAMILY,4.4,31,4.2,0.99,Everyone,Casual
CB Frequencies,TOOLS,4,5,1.4,0.99,Everyone,Tools
Neon Glow C - Icon Pack,PERSONALIZATION,4.8,557,74,0.99,Everyone,Personalization
Neon-R (Red),PERSONALIZATION,4.7,25,41,0.99,Everyone,Personalization
AJ Gray Dark Icon Pack,PERSONALIZATION,5,2,35,0.99,Everyone,Personalization
Basket Manager 2017 Pro,SPORTS,4.7,163,4.6,0.99,Everyone,Sports
Pixel Oreo/P Dark White AMOLED UI - Icon Pack,PERSONALIZATION,4.8,18,16,1.49,Everyone,Personalization
BC MVA Fines,BOOKS_AND_REFERENCE,5,5,7.2,1.75,Everyone,Books & Reference
Baldur's Gate II,FAMILY,4.3,5442,16,9.99,Teen,Role Playing
Pedi STAT,MEDICAL,4.6,129,2.9,5.49,Everyone,Medical
Math Games for Pre-K - Grade 4,FAMILY,4.6,28,23,1.99,Everyone,Education
Unstoppaball DX,FAMILY,4.2,5,40,1.49,Everyone,Puzzle
Facetune - For Free,PHOTOGRAPHY,4.4,49553,48,5.99,Everyone,Photography
The Artificial Intelligence Project (A.I. Chat),FAMILY,3,76,39,1.99,Everyone,Simulation
X Launcher Prime: With OS Style Theme & No Ads,ART_AND_DESIGN,4.7,149,3.5,1.99,Everyone,Art & Design
20WPM Amateur ham radio Koch CW Morse code trainer,COMMUNICATION,4.3,12,3.7,1.49,Everyone,Communication
Wi-Fi Rabbit Unlock Key,TOOLS,4.5,142,0.026,1,Everyone,Tools
Galaxian(FC),GAME,4.5,2,7.8,1.99,Everyone,Arcade
Fuzzy Numbers: Pre-K Number Foundation,EDUCATION,4.7,21,44,5.99,Everyone,Education
Call of Duty:Black Ops Zombies,GAME,4.2,13004,46,6.99,Teen,Action and Adventure
Fast Tract Diet,HEALTH_AND_FITNESS,4.4,35,2.4,7.99,Everyone,Health & Fitness
BlackCam Pro - B&W Camera,PHOTOGRAPHY,4.5,1376,5.5,1.49,Everyone,Photography
Truck Driving Test Class 3 BC,FAMILY,1,1,2,1.49,Everyone,Education
Recognise Foot,MEDICAL,4.2,9,95,7.49,Everyone,Medical
Trazado de tuberia El Tubero,TOOLS,4.5,313,4.4,1.97,Everyone,Tools
2 Amateur ham radio CW Morse code practice keys TX,COMMUNICATION,4.8,6,3.5,1.49,Everyone,Communication
The EO Bar,HEALTH_AND_FITNESS,4.7,416,34,6.99,Everyone,Health & Fitness
Paramedic Meds,MEDICAL,4.5,163,0.375,1.99,Everyone,Medical
I am Bread,GAME,4,630,20,4.99,Everyone,Action and Adventure
TI-Nspire CX Calculator Manual,FAMILY,3.9,11,27,4.99,Everyone,Education
Guns'n'Glory WW2 Premium,FAMILY,4.5,4656,20,2.99,Everyone 10+,Strategy
Avokiddo Emotions,FAMILY,4.6,73,12,2.99,Everyone,Education
WiFi Monitor Pro - analyzer of Wi-Fi networks,TOOLS,4.6,85,2.4,2.99,Everyone,Tools
Weather Forecast Pro,WEATHER,4.7,14051,8.7,3.99,Everyone,Weather
EM Launcher Pro,PERSONALIZATION,4.2,35,0.024,3.99,Everyone,Personalization
TI-84 CE Graphing Calculator Manual TI 84,FAMILY,5,1,27,4.99,Everyone,Education
Officiel du SCRABBLE LAROUSSE,BOOKS_AND_REFERENCE,3.4,116,48,4.6,Everyone,Books & Reference
Cameringo+ Filters Camera,PHOTOGRAPHY,4.6,28107,5.7,2.99,Everyone,Photography
WiFi Tether Router,COMMUNICATION,4.2,5599,1.3,2.9,Everyone,Communication
BL PowerPoint Remote,TOOLS,4.3,33,1,3.99,Everyone,Tools
Five Nights at Freddy's,GAME,4.6,100805,50,2.99,Teen,Action and Adventure
"Alizay, pirate girl",FAMILY,4.5,197,11,2.99,Everyone,Casual
CM Launcher 3D Pro💎,PERSONALIZATION,4.7,23802,0.173,4.99,Everyone,Personalization
Five Nights at Freddy's 4,GAME,4.6,21266,45,2.99,Teen,Action and Adventure
Teen Titans GO Figure!,FAMILY,4.5,1985,28,3.99,Everyone 10+,Action and Adventure
Super Hearing Secret Voices Recorder PRO,MEDICAL,5,3,23,2.99,Everyone,Medical
THE aMAZEing Labyrinth,FAMILY,3.9,1615,1.2,4.99,Everyone,Board
BZ Reminder PRO,BUSINESS,4.8,726,5.4,3.99,Everyone,Business
Day Night Live Wallpaper (All),PERSONALIZATION,4.7,4856,18,2.49,Everyone,Personalization
Phonics Puzzles,FAMILY,3.8,4,54,2.99,Everyone,Education
Tools & Mi Band,HEALTH_AND_FITNESS,4.4,15753,13,3.49,Everyone,Health & Fitness
Kernel Manager for Franco Kernel ✨,TOOLS,4.8,12700,10,3.49,Everyone,Tools
Adventure Time Game Wizard,GAME,4.1,4107,40,4.99,Everyone,Action and Adventure
Elemental Knights R Platinum,FAMILY,3.8,2925,93,4.77,Teen,Role Playing
Ramfer - CNC Lathe G-code Tool,PRODUCTIVITY,3.4,5,11,2.99,Everyone,Productivity
Advanced EX for KIA,TOOLS,3.3,257,0.16,4.99,Everyone,Tools
Farming Simulator 16,FAMILY,4.2,32812,14,2.99,Everyone,Simulation
Bo's Dinnertime Story,FAMILY,4.3,6,33,2.49,Everyone,Education
Anna.K Tarot,FAMILY,4.8,17,23,3.99,Mature 17+,Entertainment
My Budget Book,FINANCE,4.7,19784,7.3,2.99,Everyone,Finance
Koch Morse Trainer Pro,COMMUNICATION,4.6,94,1.1,2.49,Everyone,Communication
Smart Wi-Fi Hotspot PRO,COMMUNICATION,3.7,197,0.957,2.99,Everyone,Communication
"Decibel X PRO - Sound Meter dBA, Noise Detector",TOOLS,4.3,60,6.9,3.99,Everyone,Tools
MommyMeds,MEDICAL,3.2,45,21,3.99,Everyone,Medical
AH Alarm Panel,TOOLS,3.9,7,0.081,4.99,Everyone,Tools
The DG Buddy,BUSINESS,3.7,3,11,2.49,Everyone,Business
"ap,wifi testing,iperf,ping,android,Bluetooth,tcp",TOOLS,4.7,3,5.3,2.99,Everyone,Tools
Five Nights at Freddy's 3,GAME,4.7,27856,50,2.99,Teen,Action and Adventure
FHR 5-Tier 2.0,MEDICAL,5,2,1.2,2.99,Everyone,Medical
Penny Finder,SHOPPING,4.2,470,4.1,2.99,Everyone,Shopping
iScore5 AP Psych,FAMILY,2.9,10,73,4.99,Everyone,Education
LocaToWeb - Live GPS tracking,SPORTS,4.6,200,3,2.49,Everyone,Sports
YouCamp EU,TRAVEL_AND_LOCAL,3.4,39,32,2.56,Everyone,Travel & Local
ExDialer PRO Key,COMMUNICATION,4.5,5474,0.017,3.99,Everyone,Communication
Bloons TD 5,FAMILY,4.6,190086,94,2.99,Everyone,Strategy
Hactar Go,FAMILY,4.8,97,3.5,2.99,Everyone,Board
Dr. Panda Art Class,FAMILY,4.2,1013,58,2.99,Everyone,Education
CSCS BG (в български),FAMILY,2.4,7,2.1,3.99,Everyone,Education
Whoowasit? - Best kids game!,FAMILY,4,248,26,2.99,Everyone,Board
Advanced EX for NISSAN,TOOLS,2.9,164,0.144,4.99,Everyone,Tools
Tsuro - The Game of the Path,FAMILY,4.7,2195,37,2.99,Everyone,Board
Myth Defense 2: DF Platinum,FAMILY,4.6,1764,8.3,3.99,Everyone 10+,Strategy
Fodbold DK Pro,SPORTS,4.6,315,4.3,2.99,Everyone,Sports
iFish BC,SPORTS,3.6,25,6,3.99,Everyone,Sports
Dr. Panda Hospital,FAMILY,4.4,1091,45,2.99,Everyone,Education
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39,4.99,Everyone,Business
DRAGON QUEST II,FAMILY,4.5,2576,44,4.99,Everyone,Role Playing
iHunter BC,SPORTS,4.4,55,63,4.49,Everyone,Sports
Morse Decoder for Ham Radio,COMMUNICATION,3.7,166,2,4.99,Everyone,Communication
Advanced EX for FIAT,TOOLS,3.5,138,0.141,4.99,Everyone,Tools
AP Government Review,FAMILY,4.7,3,1.5,2.99,Everyone,Education
LC-DB,PHOTOGRAPHY,3,1,2.5,3.49,Everyone,Photography
Flipped Out! - Powerpuff Girls,FAMILY,4.4,412,22,2.99,Everyone 10+,Action and Adventure
Bitcoin BX Thailand PRO,FINANCE,1.7,21,21,4.99,Everyone,Finance
Oddworld: New 'n' Tasty,GAME,4.6,1475,34,4.99,Teen,Action and Adventure
Detect-O-Gromit (D.O.G 2),FAMILY,3.8,45,47,2.49,Everyone,Entertainment
Traps n' Gemstones,GAME,4.5,413,9.1,4.99,Everyone,Action and Adventure
CT-REMOTE,GAME,3.3,19,1.6,4.49,Everyone,Action and Adventure
cronometer (ad free),HEALTH_AND_FITNESS,3.9,1075,8.3,2.99,Everyone,Health & Fitness
ASRA Coags,MEDICAL,4.4,15,5.8,3.99,Everyone,Medical
"AG Contacts, Premium edition",COMMUNICATION,4.5,88,3.7,4.99,Everyone,Communication
Weather Live Pro,WEATHER,4.8,17493,11,4.49,Everyone,Weather
King of Math,FAMILY,4.4,766,14,2.99,Everyone,Education
Best Park in the Universe,GAME,4.3,3904,5.5,2.99,Everyone 10+,Action and Adventure
"Ultimate Public Campgrounds (Over 37,100 in US&CA)",TRAVEL_AND_LOCAL,4.7,213,6.1,3.99,Everyone,Travel & Local
Sago Mini Babies,FAMILY,4.5,253,83,3.99,Everyone,Education
Depths of Betrayal CE (Full),FAMILY,4.3,363,14,2.99,Everyone 10+,Casual
